# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0025.JPG,-116.712645,43.168846,1380.138000,90.100000,0.000000,-0.000000,2.611459,0.845700,-2.030690,1.407411,1.553702,1.478594,-0.454127,-0.146695,-116.712634,43.168827,1381.545411,91.578594,-0.454127,-0.146695
DJI_0026.JPG,-116.712596,43.168844,1380.138000,90.100000,0.000000,-0.000000,3.065830,1.755060,-2.047555,1.458285,1.389260,1.376961,-0.088686,-0.161728,-116.712574,43.168826,1381.596285,91.476961,-0.088686,-0.161728
DJI_0027.JPG,-116.712524,43.168845,1380.138000,90.100000,0.000000,-0.000000,2.636118,0.806117,-1.979092,1.543531,1.428545,1.370712,-0.340160,-0.214898,-116.712514,43.168827,1381.681530,91.470712,-0.340160,-0.214898
DJI_0028.JPG,-116.712478,43.168844,1380.138000,90.100000,0.000000,-0.000000,2.972758,1.539046,-2.062382,1.488358,1.403084,1.322381,0.415845,-0.216856,-116.712459,43.168825,1381.626358,91.422381,0.415845,-0.216856
DJI_0029.JPG,-116.712427,43.168843,1380.138000,90.100000,0.000000,-0.000000,3.320238,2.245423,-1.999849,1.408068,1.496589,1.342583,0.621311,-0.226324,-116.712399,43.168825,1381.546067,91.442583,0.621311,-0.226324
DJI_0030.JPG,-116.712356,43.168843,1380.238000,90.100000,0.000000,-0.000000,2.575623,1.157661,-1.991487,1.152229,1.684371,1.277653,1.070334,-0.243091,-116.712342,43.168826,1381.390229,91.377653,1.070334,-0.243091
DJI_0031.JPG,-116.712307,43.168843,1380.238000,90.100000,0.000000,-0.000000,3.082367,2.106842,-1.990458,1.048942,1.658405,1.198889,1.128610,-0.198016,-116.712281,43.168825,1381.286942,91.298889,1.128610,-0.198016
DJI_0032.JPG,-116.712236,43.168843,1380.138000,90.000000,0.000000,-0.000000,2.458956,1.114649,-1.966653,0.967624,1.735653,1.290591,1.147126,-0.175973,-116.712222,43.168825,1381.105624,91.290591,1.147126,-0.175973
DJI_0033.JPG,-116.712187,43.168843,1380.138000,90.000000,0.000000,-0.000000,2.901884,1.976331,-1.935209,0.877504,1.935090,1.273895,1.446924,-0.167857,-116.712163,43.168825,1381.015503,91.273895,1.446924,-0.167857
DJI_0034.JPG,-116.712120,43.168843,1380.138000,90.100000,0.000000,-0.000000,2.291771,1.096270,-1.886058,0.702276,1.820654,1.268906,1.297465,-0.145754,-116.712106,43.168826,1380.840276,91.368906,1.297465,-0.145754
